Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
GSM,645,3,20004,2473,0,28.17649841,-15.91712952,1000,1,1,1461890083,1461890083,0
GSM,645,2,750,3473,0,28.755857,-13.907828,3277,7,1,1464359664,1518085291,0
GSM,645,3,10051,21892,0,31.10847473,-8.763656616,1000,2,1,1464410920,1464410920,0
GSM,645,1,3109,38154,0,28.23143,-15.465419,1000,108,1,1465631167,1466242265,0
GSM,645,1,3109,42693,0,28.246068,-15.462018,4370,82,1,1466244350,1466244350,0
GSM,645,1,1008,30039,0,28.30284119,-15.41313171,1000,15,1,1467190557,1467190557,0
GSM,645,1,10041,43643,0,28.347464,-15.900659,7412,2,1,1467913507,1482067618,0
GSM,645,2,10115,35201,0,32.723593,-9.709428,1000,2,1,1467958462,1534983570,0
GSM,645,1,20001,30604,0,30.24604797,-13.26942444,1000,1,1,1468554972,1468554972,0
GSM,645,2,770,9391,0,26.7716217,-14.99290466,1000,1,1,1468587676,1468587676,0
GSM,645,2,220,11493,0,28.65577698,-13.00987244,1000,1,1,1468960713,1468960713,0
GSM,645,1,1008,41366,0,28.313194,-15.395596,1000,13,1,1469937661,1469937661,0
GSM,645,2,770,3613,0,28.05427551,-14.82398987,1000,1,1,1470325168,1470325168,0
GSM,645,1,1009,39137,0,28.30696106,-15.40077209,1000,1,1,1471428357,1471428357,0
GSM,645,2,10114,31971,0,28.666214,-12.969718,4649,42,1,1471425570,1573014949,0
GSM,645,3,750,3442,0,29.23667908,-13.68141174,1000,1,1,1472253968,1472253968,0
GSM,645,1,250,10572,0,28.38859,-12.74202,31565,28,1,1473223755,1542978231,0
GSM,645,1,20004,10951,0,27.76176453,-15.26893616,1000,1,1,1475975658,1475975658,0
GSM,645,1,201,62561,0,27.382736,-17.241669,1000,2,1,1477539751,1477539751,0
GSM,645,3,10061,23902,0,28.442778,-14.43328,4341,13,1,1483989255,1567671399,0
GSM,645,2,20001,35382,0,28.705598,-13.95213,16325,41,1,1487907074,1674514816,0
GSM,645,1,65400,9862,0,28.23692322,-15.42137146,1000,1,1,1489822299,1489822299,0
GSM,645,1,65400,828,0,28.27674866,-15.41175842,1000,1,1,1458598849,1458598849,0
GSM,645,2,105,10666,0,28.20259094,-15.02449036,1000,1,1,1458604093,1458604093,0
GSM,645,2,130,637,0,28.2396698,-15.35133362,1000,1,1,1458618369,1458618369,0
GSM,645,2,925,6872,0,29.013907,-11.250744,4439,3,1,1458666055,1511864877,0
GSM,645,2,10119,33762,0,28.944422,-11.223141,4202,2,1,1458646231,1608848695,0
GSM,645,2,11108,1781,0,28.333176,-15.446781,1402,161,1,1458731448,1577350991,0
GSM,645,3,10008,62923,0,28.342801,-15.455901,4402,213,1,1458731829,1566109123,0
GSM,645,1,65442,6157,0,28.89198303,-11.20674133,1000,2,1,1458739786,1458782149,0
